attempt_id,student_id,question_id,is_correct,time_taken
A1,S1,QCTSUB2_2_3_1,False,50
A2,S1,QCTSUB4_2_4_3,False,59
A3,S1,QCTSUB3_1_2_1,False,105
A4,S1,QCTSUB4_5_1_1,False,71
A5,S1,QCTSUB2_3_5_5,False,49
A6,S1,QCTSUB2_3_5_1,True,77
A7,S1,QCTSUB4_5_4_3,False,89
A8,S1,QCTSUB4_4_3_1,True,82
A9,S1,QCTSUB2_4_2_2,True,63
A10,S1,QCTSUB1_5_3_1,True,117
A11,S1,QCTSUB2_5_5_3,True,30
A12,S1,QCTSUB2_1_2_3,False,146
A13,S1,QCTSUB5_5_1_3,True,52
A14,S1,QCTSUB2_3_1_5,True,52
A15,S1,QCTSUB1_5_3_4,True,69
A16,S1,QCTSUB3_5_1_5,False,31
A17,S1,QCTSUB2_3_1_3,True,112
A18,S1,QCTSUB1_2_5_5,True,92
A19,S1,QCTSUB5_2_4_1,False,76
A20,S1,QCTSUB5_4_2_2,False,31
A21,S1,QCTSUB3_2_3_1,False,122
A22,S1,QCTSUB4_5_1_4,True,85
A23,S1,QCTSUB4_1_2_3,True,84
A24,S1,QCTSUB1_1_5_3,True,110
A25,S1,QCTSUB1_1_2_5,False,84
A26,S1,QCTSUB3_5_4_1,True,40
A27,S1,QCTSUB1_2_5_5,True,127
A28,S1,QCTSUB3_4_3_3,True,80
A29,S1,QCTSUB3_2_1_1,True,124
A30,S1,QCTSUB3_2_4_1,False,64
A31,S1,QCTSUB2_1_3_4,False,141
A32,S1,QCTSUB3_1_3_4,True,91
A33,S1,QCTSUB3_3_2_1,False,148
A34,S1,QCTSUB3_1_4_2,True,105
A35,S1,QCTSUB1_2_5_2,False,132
A36,S1,QCTSUB5_5_3_4,True,42
A37,S1,QCTSUB4_2_1_2,False,142
A38,S1,QCTSUB4_4_5_2,True,61
A39,S1,QCTSUB5_2_1_3,False,109
A40,S1,QCTSUB4_2_1_5,False,112
A41,S1,QCTSUB4_2_5_2,True,78
A42,S1,QCTSUB4_4_3_2,False,60
A43,S1,QCTSUB1_5_5_5,True,146
A44,S1,QCTSUB4_5_5_2,False,102
A45,S1,QCTSUB4_5_3_4,True,112
A46,S1,QCTSUB2_5_5_5,False,75
A47,S1,QCTSUB4_3_2_1,True,77
A48,S1,QCTSUB5_2_4_5,True,58
A49,S1,QCTSUB2_4_2_4,True,89
A50,S1,QCTSUB5_4_3_4,False,32
A51,S1,QCTSUB4_3_2_4,True,104
A52,S1,QCTSUB3_2_3_4,True,131
A53,S1,QCTSUB4_4_4_5,True,147
A54,S1,QCTSUB5_3_3_3,False,110
A55,S1,QCTSUB4_2_5_3,True,39
A56,S1,QCTSUB5_4_4_1,False,50
A57,S1,QCTSUB2_2_5_5,True,75
A58,S1,QCTSUB2_4_2_2,False,31
A59,S1,QCTSUB3_2_1_1,True,130
A60,S1,QCTSUB4_1_4_2,False,120
A61,S1,QCTSUB4_3_4_5,False,117
A62,S1,QCTSUB4_1_2_4,False,68
A63,S1,QCTSUB5_4_1_2,False,143
A64,S1,QCTSUB5_3_2_4,False,142
A65,S1,QCTSUB1_1_2_2,False,90
A66,S1,QCTSUB4_1_4_5,False,50
A67,S1,QCTSUB2_2_3_4,True,99
A68,S1,QCTSUB1_1_2_4,True,126
A69,S1,QCTSUB3_2_3_1,False,49
A70,S1,QCTSUB2_2_1_3,True,108
A71,S1,QCTSUB1_3_5_1,False,74
A72,S1,QCTSUB1_4_3_5,True,146
A73,S1,QCTSUB1_1_2_1,False,118
A74,S1,QCTSUB3_5_5_2,True,83
A75,S1,QCTSUB4_3_4_5,True,134
A76,S1,QCTSUB4_5_3_4,True,142
A77,S1,QCTSUB3_5_4_5,True,108
A78,S1,QCTSUB3_5_3_2,True,73
A79,S1,QCTSUB3_4_2_1,True,125
A80,S1,QCTSUB2_3_4_5,True,44
A81,S1,QCTSUB4_3_4_5,False,30
A82,S1,QCTSUB2_4_5_5,False,108
A83,S1,QCTSUB5_3_4_1,True,127
A84,S1,QCTSUB5_4_4_1,True,101
A85,S1,QCTSUB3_3_4_5,True,113
A86,S1,QCTSUB1_4_1_2,False,80
A87,S1,QCTSUB4_1_1_3,True,51
A88,S1,QCTSUB2_4_4_1,False,48
A89,S1,QCTSUB2_3_5_2,True,80
A90,S1,QCTSUB1_5_5_1,True,62
A91,S2,QCTSUB2_2_3_5,False,71
A92,S2,QCTSUB1_2_1_1,False,43
A93,S2,QCTSUB1_5_5_5,True,115
A94,S2,QCTSUB1_1_4_4,True,74
A95,S2,QCTSUB5_5_2_5,False,92
A96,S2,QCTSUB1_5_3_3,True,40
A97,S2,QCTSUB5_2_3_5,False,114
A98,S2,QCTSUB5_1_2_2,True,51
A99,S2,QCTSUB5_1_3_3,False,56
A100,S2,QCTSUB3_3_5_3,False,99
A101,S2,QCTSUB5_2_3_1,True,96
A102,S2,QCTSUB5_1_1_3,True,149
A103,S2,QCTSUB4_3_5_4,False,107
A104,S2,QCTSUB2_5_1_2,False,87
A105,S2,QCTSUB5_4_1_2,True,127
A106,S2,QCTSUB5_2_1_1,True,127
A107,S2,QCTSUB5_4_4_1,False,133
A108,S2,QCTSUB1_2_4_2,False,73
A109,S2,QCTSUB4_1_3_3,False,149
A110,S2,QCTSUB4_5_1_2,False,44
A111,S2,QCTSUB4_2_1_3,True,52
A112,S2,QCTSUB1_1_5_2,False,55
A113,S2,QCTSUB3_5_5_5,True,44
A114,S2,QCTSUB3_2_5_2,True,86
A115,S2,QCTSUB5_5_3_3,True,150
A116,S2,QCTSUB3_4_2_2,True,78
A117,S2,QCTSUB5_4_4_5,False,50
A118,S2,QCTSUB3_2_2_2,True,91
A119,S2,QCTSUB3_2_3_1,False,95
A120,S2,QCTSUB4_1_1_1,True,53
A121,S2,QCTSUB3_5_5_2,True,36
A122,S2,QCTSUB1_3_4_2,True,125
A123,S2,QCTSUB2_3_1_1,True,99
A124,S2,QCTSUB1_2_5_4,True,88
A125,S2,QCTSUB4_4_1_5,True,137
A126,S2,QCTSUB1_5_1_2,True,31
A127,S2,QCTSUB4_3_2_4,False,57
A128,S2,QCTSUB1_5_2_5,False,125
A129,S2,QCTSUB3_4_5_4,True,39
A130,S2,QCTSUB4_2_2_4,True,51
A131,S2,QCTSUB3_4_5_2,False,118
A132,S2,QCTSUB2_1_4_5,False,80
A133,S2,QCTSUB5_2_4_5,True,94
A134,S2,QCTSUB4_4_5_5,False,47
A135,S2,QCTSUB3_2_3_1,True,112
A136,S2,QCTSUB2_4_3_1,True,40
A137,S2,QCTSUB5_4_5_1,False,59
A138,S2,QCTSUB5_2_5_5,False,84
A139,S2,QCTSUB1_2_3_5,False,112
A140,S2,QCTSUB1_4_2_3,True,136
A141,S2,QCTSUB5_3_5_4,True,107
A142,S2,QCTSUB2_5_4_3,False,144
A143,S2,QCTSUB3_1_2_4,False,138
A144,S2,QCTSUB1_2_4_3,True,30
A145,S2,QCTSUB5_3_4_2,True,83
A146,S2,QCTSUB3_2_5_2,False,143
A147,S2,QCTSUB2_2_4_1,True,131
A148,S2,QCTSUB5_1_5_3,False,106
A149,S2,QCTSUB1_2_4_4,False,75
A150,S2,QCTSUB2_1_5_4,True,36
A151,S2,QCTSUB5_5_1_2,True,87
A152,S2,QCTSUB1_1_4_1,True,142
A153,S2,QCTSUB5_3_3_2,True,95
A154,S2,QCTSUB5_2_1_2,False,37
A155,S2,QCTSUB1_3_2_4,True,82
A156,S2,QCTSUB2_1_3_5,True,132
A157,S2,QCTSUB1_4_2_3,True,37
A158,S2,QCTSUB1_2_2_2,False,48
A159,S2,QCTSUB3_2_4_3,False,35
A160,S2,QCTSUB2_5_1_1,False,76
A161,S2,QCTSUB3_1_4_5,False,49
A162,S2,QCTSUB1_2_2_3,True,55
A163,S2,QCTSUB2_4_1_2,False,32
A164,S2,QCTSUB5_5_5_1,True,126
A165,S2,QCTSUB2_4_2_2,False,149
A166,S2,QCTSUB4_4_3_3,False,126
A167,S2,QCTSUB4_3_1_5,False,47
A168,S2,QCTSUB1_5_4_3,True,55
A169,S2,QCTSUB4_1_4_1,False,149
A170,S2,QCTSUB5_4_5_1,False,53
A171,S2,QCTSUB2_1_3_5,False,36
A172,S2,QCTSUB2_1_3_1,False,45
A173,S2,QCTSUB2_4_2_2,False,125
A174,S2,QCTSUB5_2_1_1,True,95
A175,S2,QCTSUB3_1_5_2,True,95
A176,S2,QCTSUB1_2_4_1,True,102
A177,S2,QCTSUB2_5_4_4,False,63
A178,S2,QCTSUB3_1_2_2,True,110
A179,S2,QCTSUB2_2_4_5,True,65
A180,S2,QCTSUB3_5_2_2,True,80
A181,S2,QCTSUB4_5_2_3,False,130
A182,S2,QCTSUB3_1_2_5,True,119
A183,S2,QCTSUB2_1_3_4,True,139
A184,S2,QCTSUB2_4_4_3,False,96
A185,S2,QCTSUB2_5_3_2,False,118
A186,S2,QCTSUB5_4_3_1,True,55
A187,S2,QCTSUB5_2_4_4,False,67
A188,S2,QCTSUB1_1_4_2,True,89
A189,S2,QCTSUB5_1_5_1,False,150
A190,S2,QCTSUB1_4_5_5,False,127
A191,S2,QCTSUB5_3_5_3,False,45
A192,S2,QCTSUB4_3_4_4,True,66
A193,S2,QCTSUB3_1_4_2,True,60
A194,S2,QCTSUB2_4_4_2,True,58
A195,S2,QCTSUB5_5_4_2,False,84
A196,S2,QCTSUB2_1_2_2,False,44
A197,S2,QCTSUB1_1_4_1,True,61
A198,S2,QCTSUB5_1_2_3,False,30
A199,S2,QCTSUB2_3_3_1,False,143
A200,S2,QCTSUB2_5_4_5,True,45
A201,S3,QCTSUB1_2_4_3,False,86
A202,S3,QCTSUB4_1_2_2,True,129
A203,S3,QCTSUB5_4_1_2,True,50
A204,S3,QCTSUB2_5_5_3,False,54
A205,S3,QCTSUB1_2_5_2,True,112
A206,S3,QCTSUB3_1_3_3,False,104
A207,S3,QCTSUB1_2_1_5,True,113
A208,S3,QCTSUB1_4_4_3,False,120
A209,S3,QCTSUB1_3_5_4,True,116
A210,S3,QCTSUB4_4_4_5,False,58
A211,S3,QCTSUB1_1_3_5,True,61
A212,S3,QCTSUB5_4_2_3,True,65
A213,S3,QCTSUB5_2_1_4,True,94
A214,S3,QCTSUB3_4_5_4,True,112
A215,S3,QCTSUB2_2_4_2,True,68
A216,S3,QCTSUB3_5_5_2,False,74
A217,S3,QCTSUB4_1_4_5,True,69
A218,S3,QCTSUB3_5_2_2,True,46
A219,S3,QCTSUB2_4_4_1,False,115
A220,S3,QCTSUB4_2_4_1,True,148
A221,S3,QCTSUB5_5_2_3,True,55
A222,S3,QCTSUB5_4_2_3,True,119
A223,S3,QCTSUB5_2_2_4,False,92
A224,S3,QCTSUB1_1_4_5,False,148
A225,S3,QCTSUB5_5_3_4,False,97
A226,S3,QCTSUB4_5_4_1,False,106
A227,S3,QCTSUB1_1_3_4,False,94
A228,S3,QCTSUB1_4_1_3,True,150
A229,S3,QCTSUB1_1_4_1,False,60
A230,S3,QCTSUB4_5_3_1,False,111
A231,S3,QCTSUB3_4_5_2,True,121
A232,S3,QCTSUB2_3_1_5,True,65
A233,S3,QCTSUB5_2_1_3,True,133
A234,S3,QCTSUB5_5_5_3,True,88
A235,S3,QCTSUB3_4_1_2,False,127
A236,S3,QCTSUB5_1_3_4,True,102
A237,S3,QCTSUB2_3_1_3,False,139
A238,S3,QCTSUB1_1_4_2,True,67
A239,S3,QCTSUB1_1_1_4,True,72
A240,S3,QCTSUB2_2_4_4,False,122
A241,S3,QCTSUB2_2_2_5,True,62
A242,S3,QCTSUB5_5_5_2,True,99
A243,S3,QCTSUB4_2_2_2,False,52
A244,S3,QCTSUB3_3_3_3,True,37
A245,S3,QCTSUB5_1_2_5,False,42
A246,S3,QCTSUB2_1_4_4,False,56
A247,S3,QCTSUB3_5_5_2,True,118
A248,S3,QCTSUB4_3_2_2,True,37
A249,S3,QCTSUB1_2_5_3,False,125
A250,S3,QCTSUB1_1_5_4,False,100
A251,S3,QCTSUB1_3_5_2,False,39
A252,S3,QCTSUB4_5_5_5,True,41
A253,S3,QCTSUB2_1_4_2,True,43
A254,S3,QCTSUB5_1_3_5,False,75
A255,S3,QCTSUB5_1_1_4,False,94
A256,S3,QCTSUB5_5_5_3,True,97
A257,S3,QCTSUB3_1_4_1,False,42
A258,S3,QCTSUB3_3_1_3,False,32
A259,S3,QCTSUB4_3_5_1,False,109
A260,S3,QCTSUB1_5_3_4,False,73
A261,S3,QCTSUB4_2_5_1,False,93
A262,S3,QCTSUB4_2_4_4,True,38
A263,S3,QCTSUB1_4_2_4,True,95
A264,S3,QCTSUB5_2_2_5,True,95
A265,S3,QCTSUB2_4_1_2,False,31
A266,S3,QCTSUB4_3_3_4,False,134
A267,S3,QCTSUB4_5_1_5,True,42
A268,S3,QCTSUB5_2_4_4,False,150
A269,S3,QCTSUB5_4_5_1,False,43
A270,S3,QCTSUB5_1_3_1,False,149
A271,S3,QCTSUB3_3_5_1,False,36
A272,S3,QCTSUB3_3_1_2,True,134
A273,S3,QCTSUB2_3_4_3,True,78
A274,S3,QCTSUB4_1_2_4,True,133
A275,S3,QCTSUB1_2_3_5,True,131
A276,S3,QCTSUB5_1_1_2,True,134
A277,S3,QCTSUB2_2_2_5,False,128
A278,S3,QCTSUB3_1_2_2,False,143
A279,S3,QCTSUB3_4_2_5,False,69
A280,S3,QCTSUB2_1_1_5,True,131
A281,S3,QCTSUB4_2_4_3,False,92
